Street,HouseNr,PIN,Latitude,Longitude,TERMIN001,TERMIN002,TERMIN003
Am Agnesstift,1,53117,50.750892882352936,7.0888296764705885,2025-01-06,2025-05-02,2025-09-15
Am Agnesstift,11,53117,50.75044811764706,7.088700541176471,2025-01-06,2025-05-02,2025-09-15
Am Agnesstift,13,53117,50.7505666,7.089203411764706,2025-01-06,2025-05-02,2025-09-15
Am Agnesstift,3,53117,50.75082038823529,7.088642182352942,2025-01-06,2025-05-02,2025-09-15
Am Agnesstift,5,53117,50.75070149411765,7.088202776470588,2025-01-06,2025-05-02,2025-09-15
Am Agnesstift,7,53117,50.75062855882352,7.08801395882353,2025-01-06,2025-05-02,2025-09-15
Am Agnesstift,9,53117,50.75032888235293,7.08819618235294,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,1,53117,50.7492841,7.0990584,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,10,53117,50.7500639,7.100062718749999,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,12,53117,50.75005542,7.100252473333333,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,14,53117,50.75017115000001,7.100392595000001,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,16,53117,50.75037438800001,7.100446792000001,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,2,53117,50.74978038235294,7.100413370588236,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,3,53117,50.7499343,7.0988819,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,4,53117,50.7499071125,7.100342112499999,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,6,53117,50.75015214375,7.09962224375,2025-01-06,2025-05-02,2025-09-15
Am Jesuitenhof,8,53117,50.75012868,7.099842999999999,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,1,53117,50.76071386,7.084204439999999,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,10,53117,50.76189588,7.08268204,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,11,53117,50.760963833333335,7.083800149999999,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,12,53117,50.76201482352941,7.082477629411764,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,13,53117,50.76100128,7.083714550000001,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,15,53117,50.76105818,7.083609350000001,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,17,53117,50.76110816666667,7.083541016666668,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,19,53117,50.76113991666666,7.0834836333333335,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,2,53117,50.76089166666666,7.084359579999999,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,21,53117,50.76117533333333,7.08341995,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,23,53117,50.76120673333333,7.083363666666666,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,25,53117,50.76124311,7.0832762,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,27,53117,50.7613161,7.083167716666666,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,29,53117,50.76135155,7.083104283333333,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,31,53117,50.76138326666668,7.0830475,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,33,53117,50.76141851666666,7.0829839,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,35,53117,50.76145013333333,7.082927033333333,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,37,53117,50.76148743,7.082841490000002,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,39,53117,50.76154555999999,7.08273717,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,4,53117,50.7612272142857,7.083898852380954,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,41,53117,50.76159466666667,7.0826675,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,43,53117,50.7616564,7.0825159,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,45,53117,50.761690525000006,7.0824541000000005,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,5,53117,50.760863416666666,7.083981016666667,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,6,53117,50.76146321428572,7.083465633333335,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,7,53117,50.760898833333336,7.0839173666666655,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,8,53117,50.76169344285714,7.083044752380951,2025-01-06,2025-05-02,2025-09-15
Am Rheindorfer Ufer,9,53117,50.760936057142864,7.083860528571429,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,1,53117,50.74944555217392,7.100403891304348,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,11,53117,50.74934163571428,7.101255535714286,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,13,53117,50.749314186666666,7.101535693333333,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,15,53117,50.74928690909091,7.1017743181818185,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,17,53117,50.74943521250001,7.1019427875000005,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,19,53117,50.74962520454546,7.101950577272728,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,2,53117,50.74903062727273,7.099773804545455,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,21,53117,50.74913624285714,7.101906935714287,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,23,53117,50.74898775384615,7.101955046153845,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,25,53117,50.7488465,7.102006476923076,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,27,53117,50.74870487692307,7.102057015384616,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,29,53117,50.74851444444444,7.102124827777779,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,3,53117,50.74961435,7.100417542857143,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,4,53117,50.74917203599999,7.100201975999999,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,5,53117,50.74947603333333,7.100677316666666,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,6,53117,50.7489296,7.100473153846156,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,7,53117,50.74942805714286,7.100819157142857,2025-01-06,2025-05-02,2025-09-15
Am Römerlager,9,53117,50.74938472142857,7.1010372,2025-01-06,2025-05-02,2025-09-15
An der Margarethenkirche,31,53117,50.76365329062501,7.075909465624999,2025-01-06,2025-05-02,2025-09-15
An der Margarethenkirche,41,53117,50.76295986153846,7.074971238461538,2025-01-06,2025-05-02,2025-09-15
An der Margarethenkirche,43,53117,50.76284114,7.07470684,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,1,53117,50.76404013529413,7.075896364705884,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,10,53117,50.76472011999999,7.07517358,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,11,53117,50.764325175,7.0754273,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,12,53117,50.764839650000006,7.075117025000001,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,13,53117,50.76435301428573,7.0753171,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,14,53117,50.7648859,7.075015575,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,15,53117,50.76442595,7.07526925,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,16,53117,50.76493844,7.074934260000001,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,17,53117,50.76453087272728,7.074977436363636,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,18,53117,50.7650142,7.07477442,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,19,53117,50.76459177,7.074840049999999,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,20,53117,50.76507517499999,7.074668725,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,21,53117,50.76455404545455,7.0746394181818175,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,22,53117,50.76512634000001,7.074545280000001,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,23,53117,50.76461685,7.07455405,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,24,53117,50.76520302,7.07446956,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,25,53117,50.764746675000005,7.0745845875,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,26,53117,50.765268175,7.074326525,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,27,53117,50.7647752,7.0745282,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,29,53117,50.764907390000005,7.074267140000001,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,3,53117,50.76412403333333,7.07583025,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,30,53117,50.7654486375,7.0740066875,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,31,53117,50.76499430909091,7.074164309090909,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,32,53117,50.76557438333333,7.073882766666667,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,33,53117,50.76509196153846,7.074042992307692,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,35,53117,50.76513802,7.07396406,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,37,53117,50.76518285882353,7.073792200000001,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,39,53117,50.765288525,7.073555150000001,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,5,53117,50.76418408,7.075698059999999,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,6,53117,50.76465383636364,7.0754318909090905,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,7,53117,50.76421138,7.075652839999999,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,8,53117,50.76473702,7.07528428,2025-01-06,2025-05-02,2025-09-15
An der Pfaffenmütze,9,53117,50.764262585714285,7.0754953857142855,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,2,53117,50.755150325,7.0834684625,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,22,53117,50.75718883,7.081111165,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,24,53117,50.75738270188678,7.080502771698113,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,25,53117,50.75786386250001,7.079465475000001,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,50,53117,50.75944427692308,7.078511576923078,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,70,53117,50.76069413333334,7.076515733333333,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,74,53117,50.76081175624999,7.0773182875,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,75,53117,50.76167303333333,7.078764833333332,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,77,53117,50.76172066250001,7.0788153125,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,81,53117,50.7615917,7.079617275,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,83,53117,50.76171,7.0799808,2025-01-06,2025-05-02,2025-09-15
An der Rheindorfer Burg,9,53117,50.75620927333333,7.081371546666666,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,22,53117,50.750769660869565,7.093188295652173,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,24,53117,50.75051116086957,7.093430569565218,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,26,53117,50.75025471739129,7.093670886956522,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,28,53117,50.74999653478261,7.093913791304346,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,3,53117,50.75136765,7.09515295,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,4,53117,50.75153465,7.0950730250000005,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,49,53117,50.75074656,7.093795440000001,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,5,53117,50.751264,7.09488944,2025-01-06,2025-05-02,2025-09-15
Arminiusstr.,51,53117,50.75063634,7.093898299999999,2025-01-06,2025-05-02,2025-09-15
