,PLAN_BEZ,STRASSE1,ORTSTEIL1,PLZ1,HNR_GE_AB,HNR_GE_BIS,HNR_UG_AB,HNR_UG_BIS,TERMIN001,TERMIN002,TERMIN003
11,Sperrmüll,Simone-Veil-Straße,,53121,2.0,9998.0,1.0,9999.0,2025-04-02,2025-05-23,2025-07-10
31,Sperrmüll,Aennchenplatz,Alt-Godesberg,53173,2.0,9998.0,1.0,9999.0,2025-07-03,2025-06-24,2025-11-14
46,Sperrmüll,Aennchenstr.,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-07-03,2025-06-24,2025-11-14
61,Sperrmüll,Alte Bahnhofstr.,Alt-Godesberg,53173,2.0,9998.0,1.0,9999.0,2025-12-03,2025-06-25,2025-11-13
76,Sperrmüll,Am Bismarckturm,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-10-03,2025-06-26,2025-11-17
91,Sperrmüll,Am Draitschbusch,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-12-03,2025-06-25,2025-11-13
106,Sperrmüll,Am Fronhof,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-12-03,2025-06-25,2025-11-13
121,Sperrmüll,Am Kreuter,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-10-03,2025-06-26,2025-11-17
136,Sperrmüll,Am Kurpark,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-12-03,2025-06-25,2025-11-13
151,Sperrmüll,Am Lenkert,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-12-03,2025-06-25,2025-11-13
171,Sperrmüll,Am Michaelshof,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-12-03,2025-06-25,2025-11-13
186,Sperrmüll,Auf dem Godesberg,Alt-Godesberg,53177,2.0,9998.0,1.0,9999.0,2025-12-03,2025-06-25,2025-11-13
206,Sperrmüll,Bonner Str.,Alt-Godesberg,53173,2.0,4.0,1.0,17.0,2025-07-03,2025-06-24,2025-11-14
